id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1125097,Strathlyn Coach House Barossa,6172214,Heather,,Angaston,-34.49563,139.0293,Entire home/apt,229,2,228,2025-09-21,1.56,3,327,17,
1133195,Strathlyn Lemon Tree Spa  Barossa,6172214,Heather,,Angaston,-34.49538,139.03086,Entire home/apt,213,2,87,2025-08-15,0.65,3,350,10,
1133236,Strathlyn Spa Garden Suites Barossa,6172214,Heather,,Penrice,-34.49372,139.03199,Private room,237,1,74,2025-08-24,0.52,3,351,8,
1710462,Shea-Oak Log Studio Shed,6645956,Kylie And Tom,,Shea-Oak Log,-34.51049,138.81731,Entire home/apt,104,2,599,2025-09-05,4.13,1,344,26,
2028951,"2 bedrooms with Woodfire, Barossa Country Cottages",10421165,Mark And Fiona,,Lyndoch,-34.60392,138.88311,Entire home/apt,184,2,46,2025-09-22,1.09,2,284,14,
2327616,Gawler River Farm B and B.,6713275,Bill,,Gawler River,-34.60549,138.64723,Entire home/apt,105,1,227,2025-09-14,1.76,1,356,27,
2567051,The Miners Cottage Barossa Valley,10726293,Rebecca,,Cockatoo Valley,-34.63808,138.84598,Private room,182,2,33,2024-10-06,0.25,1,205,1,
5289072,Mt McKenzie Raspberry Farm,27321203,Phillip,,Flaxman Valley,-34.56405,139.07988,Entire home/apt,184,3,152,2025-09-13,1.26,1,228,16,
5426792,"""The Shed""",28149709,Andrew & Belinda,,Nuriootpa,-34.46333,139.00032,Entire home/apt,71,1,206,2025-09-11,1.72,1,210,19,
5537173,1837 Barossa Luxury  Vineyard Cottage S Australia,28712482,Nelly,,Lyndoch,-34.58503,138.86457,Entire home/apt,413,2,40,2025-09-20,0.47,3,328,3,
6170279,"Little Para Cottage, Tanunda",32013001,Wendy,,Tanunda,-34.50938,138.97314,Entire home/apt,144,2,184,2025-07-12,1.47,1,53,13,
6170887,Elderton Wines Guest House,32017867,Elderton,,Nuriootpa,-34.47753,138.99632,Entire home/apt,420,2,39,2025-03-22,0.31,1,301,5,
9264671,Barossa Idyll Studio -great for romantics,17055114,Tracey,,Tanunda,-34.52982,138.95272,Private room,146,2,30,2024-05-29,0.26,4,220,0,
9319789,"Barossa Idyll -centre of town, breathtaking views",17055114,Tracey,,Tanunda,-34.52808,138.95335,Entire home/apt,740,1,132,2025-09-21,1.15,4,281,17,
9319994,"Barossa Idyll 3 beds - town centre, amazing views",17055114,Tracey,,Tanunda,-34.52751,138.95261,Entire home/apt,468,2,88,2025-09-14,0.78,4,281,11,
9453124,"Barossa Idyll 4 beds - town centre, amazing views",17055114,Tracey,,Tanunda,-34.52797,138.95259,Entire home/apt,638,1,55,2025-09-25,0.46,4,281,10,
9714178,Barossa Bed and Breakfast,50149490,Yvette,,Tanunda,-34.52206,138.96239,Entire home/apt,595,2,134,2025-09-01,1.17,1,261,25,
10526299,Historic Kapunda School of Mines Homestay,54276241,Mark,,Kapunda,-34.34184,138.91579,Entire home/apt,188,2,14,2025-07-14,0.36,1,333,6,
10947532,The Stables,54950628,Kay,,Altona,-34.56985,138.92791,Entire home/apt,180,2,401,2025-09-14,3.42,1,245,29,
10971607,The Lodge Angaston,48092850,Robyn,,Angaston,-34.50109,139.04697,Entire home/apt,517,2,7,2018-04-01,0.06,3,364,0,
11380095,Little House in the Barossa,59672772,John And Bianca,,Nuriootpa,-34.46193,139.01084,Entire home/apt,,3,43,2021-06-27,0.37,1,0,0,
11428035,Tin House in Tanunda offers 3 bedrooms 2 bathrooms,9380091,Kym,,Tanunda,-34.52491,138.95631,Entire home/apt,320,2,45,2024-12-31,0.39,2,311,1,
11857399,Historic Angaston Masonic Lodge,48092850,Robyn,,Angaston,-34.49983,139.04583,Entire home/apt,313,2,98,2024-04-07,0.89,3,156,0,
12192423,A Barn in the Barossa,65531648,Jacqueline,,Kapunda,-34.34327,138.92162,Entire home/apt,356,7,110,2025-04-25,0.96,2,193,4,
12856765,Angaston by the Winter Creek,48092850,Robyn,,Angaston,-34.50133,139.04966,Entire home/apt,251,2,179,2025-09-07,1.58,3,332,5,
12906285,Retro Barossa,22786354,Rebekah,,Angaston,-34.50746,139.04552,Entire home/apt,172,3,231,2025-09-08,2.22,1,239,25,
13865821,Bluebird Cottage is a relaxing 100year old cottage,81969986,Jim,,Angaston,-34.50174,139.05093,Entire home/apt,,2,12,2025-07-27,0.11,1,0,1,
14031240,Barossa Vineyard Cottages,2425103,Sandra,,Bethany,-34.53852,138.96849,Hotel room,,999,25,2023-06-03,0.23,2,85,0,
14080027,Barossa Glen - Henri's Cottage - Bed and Breakfast,84633251,Henri,,Sandy Creek,-34.58178,138.83414,Entire home/apt,234,2,174,2025-09-23,1.70,1,330,25,
14377105,Lambert Estate Retreat,88244555,James,,Angaston,-34.50712,139.03884,Entire home/apt,343,2,31,2024-01-26,0.28,1,276,0,
14697430,"Lemke Cottage,Moculta, Barossa Valley",34978411,John,,Moculta,-34.46685,139.12019,Entire home/apt,189,2,80,2025-07-26,0.94,1,326,9,
15579249,Casa Rossa - Barossa home with vineyard,14870315,Maria,,Lyndoch,-34.59793,138.87333,Entire home/apt,292,2,147,2025-06-14,1.41,1,112,8,
16519738,Old Mill Cottage,108616729,Yvonne And Glenn,,Kapunda,-34.33925,138.91111,Entire home/apt,200,2,227,2025-09-21,2.15,1,230,42,
17558728,Seppeltsfield Vineyard Cottage. Luxury & Privacy.,77871395,Wendy,,Marananga,-34.48914,138.91118,Entire home/apt,561,1,11,2025-08-26,0.21,2,304,6,
17737018,The Stables at 1860 Wine Country Cottages,97913320,Renate,,Springton,-34.72364,139.06851,Entire home/apt,,3,0,,,1,0,0,
17862552,"""LiebenGott"" - Luxury 4 bedroom, central location",10112369,Jason,,Tanunda,-34.51031,138.97908,Entire home/apt,224,1,223,2025-08-31,2.21,1,316,26,
17963507,"The Writer's Studio, Barossa",12063415,Lesley Ann,,Tanunda,-34.52511,138.96518,Entire home/apt,142,2,455,2025-09-16,4.41,1,192,38,
17980547,Martinsell Cottage Barossa Valley,123514866,Peter And Marijan,,Mount Crawford,-34.65127498802909,138.97806003489265,Entire home/apt,126,2,250,2025-09-21,2.44,2,257,26,
20002372,"Boongarrie Luxury Tent - privacy, luxury, nature",15326510,Kate,,Flaxman Valley,-34.61,139.06722,Entire home/apt,279,2,293,2025-09-14,3.07,1,340,21,
20057093,Miriam's Cottage self contained Bed and Breakfast,142521667,Alicia,,Tanunda,-34.51962,138.96033,Entire home/apt,302,2,192,2025-09-21,2.02,1,248,34,
20079805,Azalea Cedar-Rose Barossa Vineyard Views Villa,11110185,Suzie,,Lyndoch,-34.60384,138.89156,Entire home/apt,466,2,66,2025-08-10,0.67,2,323,3,
20144446,Jasmine's Cottage Barossa Valley Vineyard Views,11110185,Suzie,,Lyndoch,-34.60504,138.89259,Entire home/apt,342,2,75,2025-08-04,0.77,2,308,5,
20524750,The Reserve Barossa Valley,146536624,Simone,,Nuriootpa,-34.49153,138.96338,Entire home/apt,1552,3,13,2021-06-25,0.15,1,0,0,
21481807,"Pinecone Ridge, Barossa - enjoy your own 16 acres",156029245,Anne,,Angaston,-34.51446,139.04117,Entire home/apt,435,2,148,2025-09-25,1.92,1,288,25,
22294732,Hutton Vale Farm - Hutch Hilton,106868811,Jan,,Angaston,-34.51862,139.10905,Entire home/apt,557,1,88,2025-08-25,0.95,2,329,6,
22604785,Old Barossa Valley Inn & Bakery House..Get it all!,92198370,Heather,,Lyndoch,-34.60364,138.8866,Entire home/apt,197,2,187,2025-08-31,2.02,2,205,19,
22636387,Martinsell Manor  Barossa Valley South Australia,123514866,Peter And Marijan,,Mount Crawford,-34.68339,138.97258,Entire home/apt,360,2,39,2025-04-18,0.47,2,301,3,
22794701,Linfield Cottage,68592337,Deb,,Williamstown,-34.68038,138.88286,Entire home/apt,390,2,11,2024-09-22,0.12,1,186,0,
22855141,WHISTLER VINEYARD RETREAT,111063419,Sally,,Tanunda,-34.49146,138.95672,Entire home/apt,203,2,158,2025-09-07,1.72,1,142,29,
