id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
177754,"Coolum Ocean Views, A beach holiday of a lifetime!",850132,Maureen,Sunshine Coast,Coolum Beach,-26.53614,153.09206,Entire home/apt,322,7,54,2025-01-04,0.32,2,70,1,
300526,Tiny Farm House on The Hill,1547968,Ben,Sunshine Coast,Beerwah,-26.84728,152.86976,Entire home/apt,286,2,164,2025-09-07,3.20,1,324,21,
368309,"Magical Malindi,  Montville. QLD",603365,Tony & Patty,Sunshine Coast,Caloundra Hinterland,-26.71549,152.88951,Entire home/apt,727,2,436,2025-09-26,2.81,1,214,47,
437524,"Queen Bedroom in shared house - walk, swim, surf",2173713,Lorelle,Sunshine Coast,Buddina - Minyama,-26.69529,153.13379,Private room,71,3,508,2025-07-24,3.42,3,221,38,
664330,Bewell Eco Cottage - Sunshine Ridge Cooroy,3355245,Anne Therese,Noosa,Noosa Hinterland,-26.43581,152.88368,Entire home/apt,169,2,147,2025-09-29,1.12,1,67,22,
841444,Noosa Retreat amongst Parklands ( we are back !),4394294,Pieter And Jayne,Noosa,Tewantin,-26.39518,153.00968,Entire home/apt,130,2,101,2025-09-24,0.66,1,230,2,
854266,"Studio 23 - Romance, Style, Comfort",3656751,Suzanne & Gordon,Sunshine Coast,Coolum Beach,-26.55049,153.09711,Entire home/apt,176,2,76,2025-09-24,0.64,1,8,29,
872367,"Sunshine Coast Haven of Peace, Refresh, Recharge",2738287,Christine,Sunshine Coast,Palmwoods,-26.6677,152.94716,Private room,113,2,19,2025-08-04,0.13,2,68,1,
925819,Sunbird Holiday Stay/Guest Services,4981125,Tony,Sunshine Coast,Parrearra - Warana,-26.70551,153.12865,Entire home/apt,138,3,299,2025-09-23,1.95,1,243,17,
1001591,NOOSA NORTH SHORE  - 2 LITTLE DUCKS,5234374,Robyn,Noosa,Noosa Hinterland,-26.35863,153.05239,Entire home/apt,465,2,101,2025-06-15,0.71,1,213,8,
1035397,Across from a lovely beach with weekend lifeguards,5694270,Cindy,Sunshine Coast,Marcoola - Mudjimba,-26.61445,153.10013,Entire home/apt,304,3,80,2025-01-27,0.53,1,48,3,
1039659,Alexandria Retreat - Luxury Hinterland B&B,1695163,Paul,Sunshine Coast,Noosa Hinterland,-26.44971,152.97927,Private room,304,2,29,2022-12-31,0.20,2,272,0,
1077049,Nautilus Noosa Townhouses - Central Location,5926852,Christine Maree,Noosa,Noosaville,-26.3955875,153.0778709,Entire home/apt,,3,168,2025-07-11,1.15,16,346,6,
1181112,Bush Garden 2 br Eco Home (15min to beach),4536345,Deborah,Sunshine Coast,Diddillibah - Rosemount,-26.62638,153.0018,Entire home/apt,373,3,84,2022-08-06,0.76,2,358,0,
1214835,"""The Space Between"" Heaven and Earth",6630300,Pauline And Wayne,Sunshine Coast,Caloundra Hinterland,-26.71524,152.81088,Entire home/apt,163,1,1040,2025-09-27,7.05,1,105,79,
1218063,"Enjoy the Magic of Maleny, QLD",6646984,Marcelle,Sunshine Coast,Caloundra Hinterland,-26.75201,152.84806,Private room,80,2,150,2025-07-11,1.01,1,274,5,
1265076,Lizard Lodge,3323859,William,Sunshine Coast,Eumundi - Yandina,-26.49755859375,153.03919982910156,Entire home/apt,430,2,76,2025-09-27,0.51,31,328,2,
1284287,Alaya Verde - Luxurious Gold Room,833688,Gina,Noosa,Noosa Hinterland,-26.35684,152.93657,Hotel room,353,1,42,2024-08-31,0.38,3,230,0,
1651987,"The Shack - Heated Pool, Pet Friendly Beach House",8761644,Glenn,Noosa,Noosa Heads,-26.405991,153.08754,Entire home/apt,689,3,107,2025-09-05,0.76,51,321,15,
1748681,1 Bedroom attached unit,9201774,Gabriella,Sunshine Coast,Eumundi - Yandina,-26.54596,152.97905,Entire home/apt,164,2,12,2021-01-10,0.17,1,60,0,
1866322,Buderim Beach House,7466796,William,Sunshine Coast,Buderim - North,-26.68225,153.08829,Entire home/apt,180,3,99,2025-07-11,0.69,2,322,8,
2017635,Buderim Beach House - apartment,7466796,William,Sunshine Coast,Buderim - North,-26.67767,153.08216,Entire home/apt,100,5,83,2025-08-09,0.59,2,300,7,
2034714,"Cute, Cozy, Clean & Coastal",10441549,Leah,Sunshine Coast,Sippy Downs,-26.71808,153.05184,Private room,112,1,53,2024-12-20,0.37,1,87,6,
2106377,Little Red Cottage - Maleny,10738505,Belinda,Sunshine Coast,Caloundra Hinterland,-26.74083,152.79554,Entire home/apt,198,2,204,2025-09-23,2.23,1,315,71,
2234110,"Lake front, pool & tennis court",11405655,Mark,Sunshine Coast,Golden Beach - Pelican Waters,-26.82610875438456,153.1160309922689,Entire home/apt,,5,1,2025-01-03,0.11,1,0,1,
2248465,Alaya Escape - Ubud 1 bdrm Bungalow,11483093,Alaya Escape,Sunshine Coast,Palmwoods,-26.73883,152.90923,Private room,,2,2,2020-06-07,0.02,4,347,0,
2251935,Queen Bedroom with Ensuite • 5 mins walk to Beach,2173713,Lorelle,Sunshine Coast,Buddina - Minyama,-26.6945,153.13446,Entire home/apt,108,2,400,2025-09-15,2.90,3,79,31,
